StateCode,Division,Year,Month,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
106,0,2003,10,2.29,64.9,-0.22,-0.22,-0.66,0.55,132,70,-0.14,0.13,0.16,0.07,-0.1,-0.23,0.29,52.1,77.7
106,0,2003,11,2.46,54.8,-0.43,-0.43,-0.71,-0.43,48,240,0.15,-0.1,0.1,0.41,-0.37,-0.14,0.11,43.6,66
106,0,2003,12,1.5,45.2,-1.06,-1.06,-2.02,-1.06,5,520,-1.08,-0.54,-0.55,-0.43,-0.43,-0.62,-0.01,32.4,58.1
106,0,2004,1,2.5,44,-1.23,-1.23,-0.84,-1.23,15,550,0.38,-0.49,-0.33,-0.16,-0.14,-0.24,0.05,32.9,55.2
106,0,2004,2,3.47,43.4,0.47,-0.63,1.41,0.32,6,521,1.36,1.11,0.32,0.18,0.47,-0.25,0.33,32.7,54.2
106,0,2004,3,2.95,58.5,0.27,-0.72,-0.45,-0.01,82,198,0.28,1.07,0.97,0.1,0.08,-0.03,0.27,47.1,69.8
106,0,2004,4,3.97,62,0.7,0.7,1.38,0.7,82,97,0.78,0.69,1.16,0.48,0.45,0.39,0.5,50.3,73.8
106,0,2004,5,3.59,72,0.3,0.3,-1,-0.33,262,8,-0.28,0.31,0.38,0.39,0.23,0.5,0.59,60.5,83.5
106,0,2004,6,7.03,76.8,1.97,1.97,5.1,1.97,392,2,2.61,1.6,1.61,1.62,0.92,0.89,1.21,66.3,87.3
106,0,2004,7,3.7,79.3,2.67,2.67,2.72,2.67,482,1,0.53,2.28,1.58,1.71,1.18,1.09,1.13,68.5,90
106,0,2004,8,3.1,77.3,3.29,3.29,2.67,3.29,438,2,0.27,0.41,2.07,1.45,1.28,1.02,1.13,66,88.7
