StateCode,Division,Year,Month,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
106,0,1994,10,4.54,64.4,1.7,1.7,2.34,1.7,129,76,1.2,0.58,0.28,0.19,0.19,0.1,0.91,53.1,75.6
106,0,1994,11,3.04,54.9,1.84,1.84,0.95,1.84,53,241,0.6,1.17,0.71,0.38,0.35,0.26,0.67,44,65.8
106,0,1994,12,2.85,47,2.01,2.01,1.06,2.01,12,469,0.48,0.63,1.12,0.75,0.44,0.42,0.63,36.7,57.3
106,0,1995,1,2.54,43.8,2.25,2.25,1.35,2.25,13,564,0.42,0.52,0.64,0.57,0.48,0.43,0.58,32.7,54.9
106,0,1995,2,1.33,48.9,1.6,1.6,-1.26,0.97,17,388,-1.03,-0.38,-0.11,0.44,0.23,0.24,0.45,36.1,61.8
106,0,1995,3,3.41,54,1.79,1.79,1.06,1.57,39,293,0.75,-0.13,0.08,0.85,0.62,0.41,0.5,42.9,65
106,0,1995,4,4,60.9,2.15,2.15,1.64,2.15,74,117,0.81,0.95,0.38,0.58,0.62,0.55,0.59,48.1,73.7
106,0,1995,5,5.77,69.1,2.87,2.87,2.83,2.87,245,30,1.4,1.42,1.41,0.99,1.14,0.94,0.75,58.4,79.8
106,0,1995,6,3.69,75.6,2.89,2.89,0.94,2.89,360,2,0.13,1.01,1.17,0.88,1.25,1.09,0.62,63.9,87.3
106,0,1995,7,3.19,81.5,2.98,2.98,1.18,2.98,541,0,0.01,0.07,0.84,0.78,0.88,0.86,0.66,69.4,93.5
106,0,1995,8,2.87,82.1,2.76,2.76,0.27,2.76,555,0,0.05,-0.09,-0.04,1.01,0.74,0.89,0.68,70.6,93.6
106,0,1995,9,3.28,73,2.56,2.56,0.24,2.56,324,12,0.16,0.03,-0.04,0.85,0.7,1.06,0.68,61.3,84.7
106,0,1995,10,1.54,63.6,-0.47,1.83,-1.41,1.16,117,84,-0.81,-0.45,-0.49,0.15,0.31,0.49,0.39,49.2,78.1
106,0,1995,11,1.89,51.8,-0.79,1.27,-1.11,0.11,21,331,-0.35,-0.87,-0.63,-0.54,0.39,0.28,0.31,38.3,65.4
106,0,1995,12,2.5,44.3,-0.93,0.92,-0.66,-0.5,8,531,0.13,-0.26,-0.7,-0.59,0.21,0.22,0.41,33.4,55.2
106,0,1996,1,1.5,41.2,-1.37,-1.37,-1.6,-1.37,10,633,-0.74,-0.49,-0.62,-0.8,-0.22,0,0.3,27.6,54.9
106,0,1996,2,0.69,48.1,-2.35,-2.35,-3.36,-2.35,15,400,-1.92,-1.87,-1.31,-1.24,-1.04,-0.16,0.09,34.2,61.9
106,0,1996,3,1.87,49.1,-2.52,-2.52,-1.26,-2.52,14,418,-0.89,-1.79,-1.77,-1.47,-1.29,-0.5,-0.03,35.6,62.7
106,0,1996,4,2.5,61.2,-2.46,-2.46,-0.58,-2.46,69,119,-0.55,-0.93,-1.71,-1.37,-1.44,-0.83,-0.14,46.8,75.7
106,0,1996,5,2.4,74.8,-3.44,-3.44,-3.71,-3.44,364,8,-1.45,-1.48,-1.69,-1.87,-1.65,-1.47,-0.4,63.1,86.5
106,0,1996,6,3.78,78.8,-3.33,-3.33,-0.73,-3.33,443,1,0.2,-0.75,-0.91,-1.71,-1.53,-1.42,-0.3,67,90.6
106,0,1996,7,3.91,81.5,0.02,-2.97,0.06,-2.88,552,0,0.74,0.54,-0.32,-1.19,-1.2,-1.26,-0.32,70.2,92.7
106,0,1996,8,5.12,78.7,1.19,-1.49,3.51,0.06,472,1,1.8,1.88,1.52,-0.03,-0.58,-0.8,0.12,68.4,89
106,0,1996,9,4.71,71.7,1.91,1.91,2.53,1.91,287,16,1.32,2.27,2.39,0.72,-0.2,-0.53,0.41,60.7,82.7
106,0,1996,10,2.43,63.3,1.75,1.75,0.1,1.72,115,90,-0.03,0.68,1.43,0.8,-0.09,-0.34,0.05,50.8,75.7
