StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      106,      00,   201003,   2.24,     52,   -.13,   3.77,    -.4,   3.56,     22,    352,   -.48,    .02,    .17,   1.42,   2.19,   1.63,   1.01,   39.5,   64.4,
      106,      00,   201004,    2.6,   63.6,   -.43,   3.07,   -.92,   2.46,     97,     76,   -.44,   -.58,   -.24,    -.1,   1.56,   1.35,    .93,   51.1,   76.1,
      106,      00,   201005,    3.6,   71.5,   -.68,   2.46,    -.9,   1.46,    300,     15,   -.27,   -.52,   -.62,    .17,   1.42,   1.19,     .9,   59.7,   83.3,
      106,      00,   201006,   3.36,   81.6,   -.85,   1.97,   -.71,    .69,    523,      0,   -.14,   -.32,    -.5,   -.23,    .79,   1.38,    .92,   70.4,   92.8,
      106,      00,   201007,   4.84,   81.5,    -.2,   2.32,   1.68,   1.63,    545,      0,   1.62,    .84,    .46,    .17,    .18,   1.42,   1.28,   71.6,   91.4,
      106,      00,   201008,   2.32,   83.6,   -.55,   1.72,  -1.09,    .63,    619,      0,   -.58,    .65,    .34,   -.23,    .28,   1.28,     .8,   71.3,   95.9,
      106,      00,   201009,   3.48,   76.2,   -.56,   1.47,   -.22,    .32,    386,      4,    .34,    -.2,    .64,    .01,    .09,    .93,    .66,     64,   88.3,
      106,      00,   201010,   1.04,   64.9,  -1.29,  -1.29,  -2.35,  -1.29,    129,     71,  -1.44,   -.62,    -.9,   -.37,   -.39,   -.28,    .35,   49.8,     80,
      106,      00,   201011,   2.26,   53.6,  -1.48,  -1.48,   -.97,  -1.48,     30,    273,   -.02,   -.96,    -.6,   -.29,   -.53,   -.08,    .45,   40.3,     67,
      106,      00,   201012,    .93,   43.9,  -2.31,  -2.31,  -2.94,  -2.31,      6,    555,  -2.04,  -1.07,   -1.5,   -.71,   -.82,   -.63,    .34,   31.4,   56.4,
      106,      00,   201101,   1.75,   40.4,   -2.8,   -2.8,  -2.18,   -2.8,      7,    665,   -.44,  -1.54,  -1.11,  -1.37,   -.85,   -.81,    .46,   28.1,   52.6,
      106,      00,   201102,   1.45,   44.8,  -3.42,  -3.42,  -2.75,  -3.42,      9,    467,   -.88,   -.94,  -1.66,  -1.39,   -.97,  -1.09,     .5,   31.7,   57.9,
      106,      00,   201103,   1.54,   56.9,  -4.14,  -4.14,  -3.19,  -4.14,     75,    228,  -1.26,  -1.45,  -1.37,  -1.78,  -1.22,  -1.25,    .23,   43.9,   69.9,
